開放閩南語字典

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）

［繁體字］	［簡體字］	［閩南語拼音］	［閩南語拼音 (數字調號)］
褒	褒	po	po
堡	堡	pó	po2
保	保	pó	po2
呆	呆	pó	po2
爸	爸	pó	po2
鴇	鸨	pó	po2
褓	褓	pó	po2
葆	葆	pó	po2
寶	宝	pó	po2
簸	簸	pò	po3
譒	譒	pò	po3
蚾	蚾	pò	po3
播	播	pò	po3
儤	儤	pò	po3
報	报	pò	po3
嶓	嶓	pò	po3
蘤	蘤	pô	po5
婆	婆	pô	po5
皤	皤	pô	po5
櫇	櫇	pô	po5
瀑	瀑	pō	po7
埠	端口	pō	po7
暴	暴	pō	po7
虣	虣	pō	po7
貝	贝	pòa	poa3
簸	簸	pòa	poa3
鈸	钹	poah	poah
撥	拨	poah	poah
跌	跌	po̍ah	poah8
跋	跋	po̍ah	poah8
拔	拔	po̍ah	poah8
鈸	钹	po̍ah	poah8
賭	赌	po̍ah	poah8
般	般	poan	poan
搬	搬	poan	poan
姅	姅	pòan	poan3
半	半	pòan	poan3
拌	拌	pòan	poan3
靽	靽	pòan	poan3
絆	绊	pòan	poan3
磐	磐	pôan	poan5
媻	媻	pôan	poan5
槃	槃	pôan	poan5
鞶	鞶	pôan	poan5
蹣	蹒	pôan	poan5
盤	盘	pôan	poan5
坢	坢	pōan	poan7
拌	拌	pōan	poan7
畔	畔	pōan	poan7
叛	叛	pōan	poan7
般	般	poaⁿ	poann
搬	搬	poaⁿ	poann
魬	魬	póaⁿ	poann2
絆	绊	pòaⁿ	poann3
半	半	pòaⁿ	poann3
靽	靽	pòaⁿ	poann3
蹣	蹒	pôaⁿ	poann5
盤	盘	pôaⁿ	poann5
抄	抄	pôaⁿ	poann5
枰	枰	pôaⁿ	poann5
拌	拌	pôaⁿ	poann5
抄	抄	pôaⁿ	poann5
磐	磐	pôaⁿ	poann5
拂	拂	pōaⁿ	poann7
鱍	鱍	poat	poat
襏	袯	poat	poat
醱	酦	poat	poat
撥	拨	poat	poat
鼥	鼥	poat	poat
砵	砵	poat	poat
菝	菝	po̍at	poat8
茇	茇	po̍at	poat8
軷	軷	po̍at	poat8
拔	拔	po̍at	poat8
胈	胈	po̍at	poat8
跋	跋	po̍at	poat8
袚	袚	po̍at	poat8
柭	柭	po̍at	poat8
魃	魃	po̍at	poat8
鈸	钹	po̍at	poat8
棓	棓	poe	poe
杯	杯	poe	poe
桮	桮	poe	poe
鎞	鎞	poe	poe
盃	杯	poe	poe
篦	篦	poe	poe
貝	贝	pòe	poe3
褙	褙	pòe	poe3
梖	梖	pòe	poe3
背	背	pòe	poe3
唄	呗	pòe	poe3
珮	珮	pòe	poe3
珼	珼	pòe	poe3
倍	倍	pòe	poe3
輩	辈	pòe	poe3
徘	徘	pôe	poe5
毰	毰	pôe	poe5
踣	踣	pôe	poe5
賠	赔	pôe	poe5
裴	裴	pôe	poe5
棓	棓	pôe	poe5
陪	陪	pôe	poe5
掊	掊	pôe	poe5
培	培	pôe	poe5
俳	俳	pôe	poe5
倍	倍	pōe	poe7
瑁	瑁	pōe	poe7
佩	佩	pōe	poe7
孛	孛	pōe	poe7
焙	焙	pōe	poe7
蓓	蓓	pōe	poe7
北	北	pōe	poe7
偝	偝	pōe	poe7
琲	琲	pōe	poe7
悖	悖	pōe	poe7
背	背	pōe	poe7
誖	誖	pōe	poe7
珮	珮	pōe	poe7
邶	邶	pōe	poe7
狽	狈	pōe	poe7
柭	柭	pōe	poe7
俖	俖	pōe	poe7
捌	捌	poeh	poeh
怕	怕	poeh	poeh
八	八	poeh	poeh
駁	驳	poh	poh
卜	卜	poh	poh
箔	箔	po̍h	poh8
薄	薄	po̍h	poh8
蹼	蹼	pok	pok
鳪	鳪	pok	pok
北	北	pok	pok
卜	卜	pok	pok
烞	烞	pok	pok
襆	襆	pok	pok
駁	驳	pok	pok
匐	匐	po̍k	pok8
縛	缚	po̍k	pok8
轐	轐	po̍k	pok8
菔	菔	po̍k	pok8
僰	僰	po̍k	pok8
鉑	铂	po̍k	pok8
醭	醭	po̍k	pok8
簿	簿	po̍k	pok8
踣	踣	po̍k	pok8
箔	箔	po̍k	pok8
泊	泊	po̍k	pok8
亳	亳	po̍k	pok8
欂	欂	po̍k	pok8
蔔	卜	po̍k	pok8
鑮	鑮	po̍k	pok8
踄	踄	po̍k	pok8
僕	仆	po̍k	pok8
濮	濮	po̍k	pok8
薄	薄	po̍k	pok8
鏷	镤	po̍k	pok8
菶	菶	pong	pong
榜	榜	póng	pong2
縍	縍	póng	pong2
綁	绑	póng	pong2
傍	傍	póng	pong2
氆	氆	póng	pong2
琫	琫	póng	pong2
牓	牓	póng	pong2
謗	谤	pòng	pong3
艕	艕	pòng	pong3
唪	唪	pòng	pong3
縍	縍	pòng	pong3
徬	徬	pòng	pong3
牓	牓	pông	pong5
鎊	镑	pông	pong5
房	房	pông	pong5
滂	滂	pông	pong5
旁	旁	pông	pong5
馮	冯	pông	pong5
唐	唐	pông	pong5
膀	膀	pông	pong5
蒡	蒡	pông	pong5
舽	舽	pông	pong5
傍	傍	pông	pong5
彷	彷	pông	pong5
螃	螃	pông	pong5
搒	搒	pông	pong5
磅	磅	pōng	pong7
棒	棒	pōng	pong7
傍	傍	pōng	pong7
晡	晡	po·	pou
夫	夫	po·	pou
埠	端口	po·	pou
埔	埔	po·	pou
斧	斧	pó·	pou2
黼	黼	pó·	pou2
脯	脯	pó·	pou2
補	补	pó·	pou2
譒	譒	pò·	pou3
抪	抪	pò·	pou3
布	布	pò·	pou3
磻	磻	pò·	pou3
佈	布	pò·	pou3
播	播	pò·	pou3
傅	傅	pò·	pou3
怖	怖	pò·	pou3
袍	袍	pô·	pou5
蒲	蒲	pô·	pou5
匍	匍	pô·	pou5
蒱	蒱	pô·	pou5
莆	莆	pô·	pou5
房	房	pô·	pou5
苞	苞	pô·	pou5
蚨	蚨	pô·	pou5
模	模	pô·	pou5
餔	餔	pô·	pou5
逋	逋	pô·	pou5
抔	抔	pô·	pou5
菩	菩	pô·	pou5
暴	暴	pô·	pou5
酺	酺	pô·	pou5
葡	葡	pô·	pou5
裒	裒	pô·	pou5
步	步	pō·	pou7
蔀	蔀	pō·	pou7
捗	捗	pō·	pou7
餔	餔	pō·	pou7
候	候	pō·	pou7
哺	哺	pō·	pou7
篰	篰	pō·	pou7
部	部	pō·	pou7
踄	踄	pō·	pou7
捕	捕	pō·	pou7
擘	擘	pō·	pou7
富	富	pù	pu3
匏	匏	pû	pu5
炮	炮	pû	pu5
炰	炰	pû	pu5
瓟	瓟	pû	pu5
婦	妇	pū	pu7
菢	菢	pū	pu7
發	发	puh	puh
沸	沸	puh	puh
窋	窋	puh	puh
沸	沸	pui	pui3
疿	疿	pui	pui3
肥	肥	pûi	pui5
吠	吠	pūi	pui7
拔	拔	pu̍ih	puih
分	分	pun	pun
本	本	pún	pun2
畚	畚	pún	pun2
畚	畚	pùn	pun3
糞	粪	pùn	pun3
歕	歕	pûn	pun5
噴	喷	pûn	pun5
蘋	苹	pûn	pun5
坌	坌	pūn	pun7
笨	笨	pūn	pun7
体	体	pūn	pun7
泍	泍	pūn	pun7
朳	朳	put	put
扒	扒	put	put
不	不	put	put
鋍	鋍	pu̍t	put8
餑	饽	pu̍t	put8
勃	勃	pu̍t	put8
浡	浡	pu̍t	put8
馞	馞	pu̍t	put8
孛	孛	pu̍t	put8
荸	荸	pu̍t	put8
挬	挬	pu̍t	put8
艴	艴	pu̍t	put8
哱	哱	pu̍t	put8
桲	桲	pu̍t	put8
鵓	鹁	pu̍t	put8
佛	佛	pu̍t	put8
郣	郣	pu̍t	put8
渤	渤	pu̍t	put8
鈸	钹	pu̍t	put8
脖	脖	pu̍t	put8
誖	誖	pu̍t	put8
裟	裟	sa	sa
痧	痧	sa	sa
鯊	鲨	sa	sa
柵	栅	sa	sa
紗	纱	sa	sa
魦	魦	sa	sa
硝	硝	sa	sa
砂	砂	sa	sa
沙	沙	sa	sa
灑	洒	sá	sa2
傻	傻	sá	sa2
纚	纚	sá	sa2
耍	耍	sá	sa2
洒	洒	sá	sa2
晒	晒	sà	sa3
曬	晒	sà	sa3
嗄	嗄	sà	sa3
煠	煠	sa̍h	sah8
螄	蛳	sai	sai
私	私	sai	sai
獅	狮	sai	sai
西	西	sai	sai
篩	筛	sai	sai
犀	犀	sai	sai
師	师	sai	sai
史	史	sái	sai2
使	使	sái	sai2
屎	屎	sái	sai2
駛	驶	sái	sai2
殺	杀	sài	sai3
婿	婿	sài	sai3
塞	塞	sài	sai3
使	使	sài	sai3
賽	赛	sài	sai3
撒	撒	sāi	sai7
似	似	sāi	sai7
事	事	sāi	sai7
祀	祀	sāi	sai7
姒	姒	sāi	sai7
鬖	鬖	sam	sam
山	山	sam	sam
三	三	sam	sam
衫	衫	sam	sam
杉	杉	sam	sam
釤	钐	sam	sam
摻	掺	sam	sam
穇	穇	sam	sam
槮	槮	sam	sam
毿	毵	sam	sam
蔘	蔘	sam	sam
摻	掺	sám	sam2
糝	糁	sám	sam2
三	三	sàm	sam3
鬖	鬖	sàm	sam3
毿	毵	sàm	sam3
釤	钐	sàm	sam3
姍	姗	san	san
衫	衫	san	san
潸	潸	san	san
跚	跚	san	san
山	山	san	san
訕	讪	san	san
珊	珊	san	san
纔	才	san	san
星	星	san	san
喪	丧	san	san
嵼	嵼	sán	san2
鏟	铲	sán	san2
滻	浐	sán	san2
羼	羼	sán	san2
瘦	瘦	sán	san2
散	散	sán	san2
剷	剷	sán	san2
產	产	sán	san2
丳	丳	sán	san2
繖	繖	sán	san2
汕	汕	sàn	san3
訕	讪	sàn	san3
散	散	sàn	san3
霰	霰	sàn	san3
線	线	sàn	san3
傘	伞	sàn	san3
鬖	鬖	sàn	san3
鏾	鏾	sàn	san3
疝	疝	sàn	san3
腺	腺	sàn	san3
繖	繖	sàn	san3
雙	双	sang	sang
鬆	松	sang	sang
宋	宋	sàng	sang3
送	送	sàng	sang3
三	三	saⁿ	sann
衫	衫	saⁿ	sann
相	相	saⁿ	sann
承	承	sâⁿ	sann5
喢	喢	saⁿh	sannh
鈒	钑	sap	sap
屑	屑	sap	sap
翣	翣	sap	sap
霎	霎	sap	sap
霅	霅	sap	sap
馺	馺	sap	sap
雪	雪	sap	sap
颯	飒	sap	sap
卅	卅	sa̍p	sap8
鎩	铩	sat	sat
撒	撒	sat	sat
摋	摋	sat	sat
薩	萨	sat	sat
煞	煞	sat	sat
殺	杀	sat	sat
芟	芟	sat	sat
攃	攃	sat	sat
雪	雪	sat	sat
蝨	蝨	sat	sat
姍	姗	sat	sat
虱	虱	sat	sat
蛸	蛸	sau	sau
梢	梢	sau	sau
消	消	sau	sau
捎	捎	sau	sau
弰	弰	sau	sau
旓	旓	sau	sau
筲	筲	sau	sau
鮹	鮹	sau	sau
髾	髾	sau	sau
莦	莦	sau	sau
綃	绡	sau	sau
哨	哨	sáu	sau2
稍	稍	sáu	sau2
潲	潲	sáu	sau2
稍	稍	sàu	sau3
鞘	鞘	sàu	sau3
掃	扫	sàu	sau3
艄	艄	sàu	sau3
嗽	嗽	sàu	sau3
恓	恓	se	se
紗	纱	se	se
西	西	se	se
魦	魦	se	se
犀	犀	se	se
粞	粞	se	se
棲	栖	se	se
鯊	鲨	se	se
砂	砂	se	se
鎪	锼	se	se
栖	栖	se	se
樨	樨	se	se
裟	裟	se	se
洒	洒	sé	se2
洗	洗	sé	se2
賽	赛	sè	se3
細	细	sè	se3
齛	齛	sè	se3
稅	税	sè	se3
世	世	sè	se3
勢	势	sè	se3
婿	婿	sè	se3
貨	货	sè	se3
貰	贳	sè	se3
撒	撒	sè	se3
誓	誓	sè	se3
垂	垂	sê	se5
歲	岁	sê	se5
澨	澨	sē	se7
筮	筮	sē	se7
逝	逝	sē	se7
垂	垂	sē	se7
噬	噬	sē	se7
諡	諡	sē	se7
屑	屑	seh	seh
刷	刷	seh	seh
霎	霎	seh	seh
雪	雪	seh	seh
說	说	seh	seh
褯	褯	se̍h	seh8
漱	漱	sek	sek
昔	昔	sek	sek
瑟	瑟	sek	sek
粟	粟	sek	sek
索	索	sek	sek
息	息	sek	sek
郝	郝	sek	sek
焟	焟	sek	sek
瘜	瘜	sek	sek
釋	释	sek	sek
摵	摵	sek	sek
惜	惜	sek	sek
錫	锡	sek	sek
式	式	sek	sek
碏	碏	sek	sek
淅	淅	sek	sek
膝	膝	sek	sek
涑	涑	sek	sek
熟	熟	sek	sek
襫	襫	sek	sek
虩	虩	sek	sek
晰	晰	sek	sek
緆	緆	sek	sek
稷	稷	sek	sek
螫	螫	sek	sek
適	适	sek	sek
悉	悉	sek	sek
鎍	鎍	sek	sek
析	析	sek	sek
薔	蔷	sek	sek
飾	饰	sek	sek
濇	濇	sek	sek
熄	熄	sek	sek
栻	栻	sek	sek
軾	轼	sek	sek
拭	拭	sek	sek
虱	虱	sek	sek
槭	槭	sek	sek
哳	哳	sek	sek
蕮	蕮	sek	sek
蜥	蜥	sek	sek
惁	惁	sek	sek
棤	棤	sek	sek
奭	奭	sek	sek
抶	抶	sek	sek
鄎	鄎	sek	sek
塞	塞	sek	sek
皙	皙	sek	sek
蟋	蟋	sek	sek
腊	腊	sek	sek
蝨	蝨	sek	sek
璱	璱	sek	sek
皵	皵	sek	sek
室	室	sek	sek
媳	媳	sek	sek
菥	菥	sek	sek
措	措	sek	sek
潟	潟	sek	sek
穡	穑	sek	sek
識	识	sek	sek
蜴	蜴	sek	sek
色	色	sek	sek
晹	晹	sek	sek
嗇	啬	sek	sek
祏	祏	se̍k	sek8
汐	汐	se̍k	sek8
穸	穸	se̍k	sek8
碩	硕	se̍k	sek8
妒	妒	se̍k	sek8
蓆	蓆	se̍k	sek8
鼫	鼫	se̍k	sek8
席	席	se̍k	sek8
夕	夕	se̍k	sek8
熟	熟	se̍k	sek8
石	石	se̍k	sek8
褯	褯	se̍k	sek8
湦	湦	seng	seng
甥	甥	seng	seng
聲	声	seng	seng
陞	陞	seng	seng
胜	胜	seng	seng
升	升	seng	seng
腥	腥	seng	seng
先	先	seng	seng
星	星	seng	seng
笙	笙	seng	seng
生	生	seng	seng
醒	醒	seng	seng
牲	牲	seng	seng
泩	泩	seng	seng
勝	胜	seng	seng
鉎	鉎	seng	seng
鼪	鼪	seng	seng
煋	煋	seng	seng
昇	昇	seng	seng
旌	旌	seng	seng
猩	猩	seng	seng
惺	惺	seng	seng
身	身	seng	seng
辛	辛	seng	seng
箵	箵	séng	seng2
醒	醒	séng	seng2
偗	偗	séng	seng2
省	省	séng	seng2
擤	擤	séng	seng2
眚	眚	séng	seng2
性	性	sèng	seng3
甸	甸	sèng	seng3
聖	圣	sèng	seng3
貹	貹	sèng	seng3
勝	胜	sèng	seng3
姓	姓	sèng	seng3
蠅	蝇	sêng	seng5
晟	晟	sêng	seng5
丞	丞	sêng	seng5
塍	塍	sêng	seng5
乘	乘	sêng	seng5
誠	诚	sêng	seng5
城	城	sêng	seng5
澠	渑	sêng	seng5
憴	憴	sêng	seng5
鱦	鱦	sêng	seng5
盛	盛	sêng	seng5
成	成	sêng	seng5
神	神	sêng	seng5
郕	郕	sêng	seng5
宬	宬	sêng	seng5
繩	绳	sêng	seng5
承	承	sêng	seng5
盛	盛	sēng	seng7
晟	晟	sēng	seng7
賸	賸	sēng	seng7
嵊	嵊	sēng	seng7
乘	乘	sēng	seng7
騬	騬	sēng	seng7
蕬	蕬	si	si
糸	糸	si	si
溮	溮	si	si
尸	尸	si	si
蓍	蓍	si	si
施	施	si	si
司	司	si	si
私	私	si	si
邿	邿	si	si
螄	蛳	si	si
絲	丝	si	si
鳲	鸤	si	si
絁	絁	si	si
箷	箷	si	si
西	西	si	si
書	书	si	si
思	思	si	si
屍	尸	si	si
詩	诗	si	si
楒	楒	si	si
訑	訑	si	si
鷥	鸶	si	si
死	死	sí	si2
始	始	sí	si2
屎	屎	sí	si2
痑	痑	sí	si2
矢	矢	sí	si2
豕	豕	sí	si2
葸	葸	sí	si2
恥	耻	sí	si2
枲	枲	sí	si2
弛	弛	sí	si2
鰓	鳃	sí	si2
揓	揓	sí	si2
肆	肆	sì	si3
戺	戺	sì	si3
試	试	sì	si3
勢	势	sì	si3
四	四	sì	si3
世	世	sì	si3
僿	僿	sì	si3
示	示	sì	si3
施	施	sì	si3
扡	扡	sì	si3
榯	榯	sî	si5
提	提	sî	si5
時	时	sî	si5
忯	忯	sî	si5
蒔	莳	sî	si5
塒	埘	sî	si5
溡	溡	sî	si5
茬	茬	sî	si5
鍉	鍉	sî	si5
鰣	鲥	sî	si5
嗜	嗜	sī	si7
蒔	莳	sī	si7
寺	寺	sī	si7
豉	豉	sī	si7
侍	侍	sī	si7
示	示	sī	si7
庤	庤	sī	si7
褆	褆	sī	si7
諟	諟	sī	si7
是	是	sī	si7
恃	恃	sī	si7
峙	峙	sī	si7
氏	氏	sī	si7
畤	畤	sī	si7
姼	姼	sī	si7
在	在	sī	si7
視	视	sī	si7
匙	匙	sī	si7
忯	忯	sī	si7
沶	沶	sī	si7
些	些	sia	sia
奓	奓	sia	sia
捨	舍	siá	sia2
寫	写	siá	sia2
舍	舍	siá	sia2
卸	卸	sià	sia3
舍	舍	sià	sia3
厙	厍	sià	sia3
瀉	泻	sià	sia3
騇	騇	sià	sia3
赦	赦	sià	sia3
鉈	铊	siâ	sia5
斜	斜	siâ	sia5
蛇	蛇	siâ	sia5
畬	畬	siâ	sia5
邪	邪	siâ	sia5
佘	佘	siâ	sia5
闍	阇	siâ	sia5
卸	卸	siā	sia7
射	射	siā	sia7
社	社	siā	sia7
榭	榭	siā	sia7
謝	谢	siā	sia7
麝	麝	siā	sia7
錫	锡	siah	siah
削	削	siah	siah
石	石	sia̍h	siah8
席	席	sia̍h	siah8
夕	夕	sia̍h	siah8
鑠	铄	siak	siak
痁	痁	siam	siam
纖	纤	siam	siam
銛	铦	siam	siam
殲	歼	siam	siam
憸	憸	siam	siam
孅	孅	siam	siam
襳	襳	siam	siam
瀸	瀸	siam	siam
苫	苫	siam	siam
瞻	瞻	siam	siam
韱	韱	siam	siam
睒	睒	siám	siam2
閃	闪	siám	siam2
剡	剡	siám	siam2
陝	陕	siám	siam2
嶄	崭	siám	siam2
劖	劖	siám	siam2
陜	陜	siám	siam2
巉	巉	siám	siam2
滲	渗	siàm	siam3
棎	棎	siâm	siam5
簷	簷	siâm	siam5
蟾	蟾	siâm	siam5
贍	赡	siām	siam7
掞	掞	siām	siam7
暹	暹	siām	siam7
鮮	鲜	sian	sian
姍	姗	sian	sian
秈	籼	sian	sian
銹	锈	sian	sian
山	山	sian	sian
褼	褼	sian	sian
身	身	sian	sian
挻	挻	sian	sian
姺	姺	sian	sian
僊	僊	sian	sian
鏽	锈	sian	sian
宣	宣	sian	sian
先	先	sian	sian
珊	珊	sian	sian
仙	仙	sian	sian
躚	跹	sian	sian
鱔	鳝	sian	sian
僎	僎	sián	sian2
獮	狝	sián	sian2
跣	跣	sián	sian2
尟	尟	sián	sian2
鮮	鲜	sián	sian2
燹	燹	sián	sian2
洗	洗	sián	sian2
筅	筅	sián	sian2
蘚	藓	sián	sian2
廯	廯	sián	sian2
癬	癣	sián	sian2
銑	铣	sián	sian2
毨	毨	sián	sian2
搧	搧	siàn	sian3
先	先	siàn	sian3
訕	讪	siàn	sian3
扇	扇	siàn	sian3
善	善	siàn	sian3
煽	煽	siàn	sian3
謆	謆	siàn	sian3
線	线	siàn	sian3
騸	骟	siàn	sian3
嬋	婵	siân	sian5
涎	涎	siân	sian5
儃	儃	siân	sian5
澶	澶	siân	sian5
繟	繟	siân	sian5
蟬	蝉	siân	sian5
嬗	嬗	siân	sian5
唌	唌	siân	sian5
禪	禅	siân	sian5
鱣	鳣	siān	sian7
襢	襢	siān	sian7
繕	缮	siān	sian7
擅	擅	siān	sian7
蟺	蟺	siān	sian7
燀	燀	siān	sian7
善	善	siān	sian7
樿	樿	siān	sian7
僤	僤	siān	sian7
單	单	siān	sian7
墡	墡	siān	sian7
腎	肾	siān	sian7
倦	倦	siān	sian7
墠	墠	siān	sian7
羨	羨	siān	sian7
禪	禅	siān	sian7
儃	儃	siān	sian7
膳	膳	siān	sian7
雙	双	siang	siang
同	同	siâng	siang5
共	共	siāng	siang7
上	上	siāng	siang7
聲	声	siaⁿ	siann
甚	甚	siáⁿ	siann2
聖	圣	siàⁿ	siann3
成	成	siâⁿ	siann5
城	城	siâⁿ	siann5
盛	盛	siāⁿ	siann7
炸	炸	siap	siap
澀	涩	siap	siap
攝	摄	siap	siap
揲	揲	sia̍p	siap8
攝	摄	sia̍p	siap8
涉	涉	sia̍p	siap8
卅	卅	sia̍p	siap8
絏	絏	siat	siat
楔	楔	siat	siat
翣	翣	siat	siat
伳	伳	siat	siat
揳	揳	siat	siat
契	契	siat	siat
舌	舌	siat	siat
削	削	siat	siat
媟	媟	siat	siat
偰	偰	siat	siat
疶	疶	siat	siat
躠	躠	siat	siat
洩	洩	siat	siat
薛	薛	siat	siat
韘	韘	siat	siat
爇	爇	siat	siat
僁	僁	siat	siat
蔎	蔎	siat	siat
赤	赤	siat	siat
燮	燮	siat	siat
泄	泄	siat	siat
紲	绁	siat	siat
設	设	siat	siat
跬	跬	siat	siat
躞	躞	siat	siat
屧	屧	siat	siat
屑	屑	siat	siat
惵	惵	sia̍t	siat8
捎	捎	sia̍t	siat8
碟	碟	sia̍t	siat8
旓	旓	siau	siau
綃	绡	siau	siau
莦	莦	siau	siau
瀟	潇	siau	siau
銷	销	siau	siau
蛸	蛸	siau	siau
踃	踃	siau	siau
蕭	萧	siau	siau
捎	捎	siau	siau
韶	韶	siau	siau
燒	烧	siau	siau
消	消	siau	siau
箾	箾	siau	siau
硝	硝	siau	siau
痟	痟	siau	siau
簫	箫	siau	siau
逍	逍	siau	siau
肖	肖	siau	siau
魈	魈	siau	siau
梢	梢	siau	siau
俏	俏	siau	siau
翛	翛	siau	siau
揱	揱	siau	siau
橚	橚	siau	siau
霄	霄	siau	siau
宵	宵	siau	siau
篠	篠	siáu	siau2
羞	羞	siáu	siau2
謏	謏	siáu	siau2
小	小	siáu	siau2
少	少	siáu	siau2
嬲	嬲	siáu	siau2
峭	峭	siàu	siau3
秀	秀	siàu	siau3
數	数	siàu	siau3
哨	哨	siàu	siau3
算	算	siàu	siau3
霄	霄	siàu	siau3
賬	账	siàu	siau3
肖	肖	siàu	siau3
少	少	siàu	siau3
誚	诮	siàu	siau3
俏	俏	siàu	siau3
鞘	鞘	siàu	siau3
笑	笑	siàu	siau3
嘯	啸	siàu	siau3
髫	髫	siâu	siau5
韶	韶	siâu	siau5
迢	迢	siâu	siau5
精	精	siâu	siau5
卲	卲	siāu	siau7
潲	潲	siāu	siau7
劭	劭	siāu	siau7
紹	绍	siāu	siau7
袑	袑	siāu	siau7
邵	邵	siāu	siau7
召	召	siāu	siau7
閃	闪	sih	sih
顫	颤	sih	sih
薛	薛	sih	sih
蝕	蚀	si̍h	sih8
媳	媳	sim	sim
身	身	sim	sim
罧	罧	sim	sim
森	森	sim	sim
參	参	sim	sim
沁	沁	sim	sim
覃	覃	sim	sim
心	心	sim	sim
篸	篸	sim	sim
滲	渗	sim	sim
芯	芯	sim	sim
葠	葠	sim	sim
沈	沈	sím	sim2
伈	伈	sím	sim2
淰	淰	sím	sim2
審	审	sím	sim2
沉	沉	sím	sim2
瀋	沈	sím	sim2
哂	哂	sím	sim2
諗	谂	sím	sim2
甚	甚	sím	sim2
稔	稔	sím	sim2
滲	渗	sìm	sim3
沁	沁	sìm	sim3
槮	槮	sìm	sim3
趛	趛	sìm	sim3
潯	浔	sîm	sim5
蟳	蟳	sîm	sim5
鄩	鄩	sîm	sim5
葚	葚	sîm	sim5
湛	湛	sîm	sim5
煁	煁	sîm	sim5
蟫	蟫	sîm	sim5
鱘	鲟	sîm	sim5
灊	灊	sîm	sim5
鐔	镡	sîm	sim5
撏	挦	sîm	sim5
蕈	蕈	sîm	sim5
愖	愖	sîm	sim5
忱	忱	sîm	sim5
諶	谌	sîm	sim5
尋	寻	sîm	sim5
黮	黮	sîm	sim5
燖	燖	sîm	sim5
鬵	鬵	sîm	sim5
甚	甚	sīm	sim7
侺	侺	sīm	sim7
紳	绅	sin	sin
觲	觲	sin	sin
籸	籸	sin	sin
莘	莘	sin	sin
娠	娠	sin	sin
柛	柛	sin	sin
姺	姺	sin	sin
駪	駪	sin	sin
新	新	sin	sin
申	申	sin	sin
騂	骍	sin	sin
侁	侁	sin	sin
呻	呻	sin	sin
詵	诜	sin	sin
辛	辛	sin	sin
親	亲	sin	sin
身	身	sin	sin
伸	伸	sin	sin
瘁	瘁	sin	sin
信	信	sin	sin
矧	矧	sín	sin2
哂	哂	sín	sin2
蕈	蕈	sín	sin2
迅	迅	sìn	sin3
訊	讯	sìn	sin3
甡	甡	sìn	sin3
信	信	sìn	sin3
汛	汛	sìn	sin3
囟	囟	sìn	sin3
臣	臣	sîn	sin5
蠅	蝇	sîn	sin5
麎	麎	sîn	sin5
承	承	sîn	sin5
宸	宸	sîn	sin5
丞	丞	sîn	sin5
晨	晨	sîn	sin5
辰	辰	sîn	sin5
神	神	sîn	sin5
鷐	鷐	sîn	sin5
薪	薪	sīn	sin7
蜃	蜃	sīn	sin7
贐	赆	sīn	sin7
燼	烬	sīn	sin7
祳	祳	sīn	sin7
脤	脤	sīn	sin7
腎	肾	sīn	sin7
茲	兹	siⁿ	sinn
斯	斯	siⁿ	sinn
生	生	siⁿ	sinn
牲	牲	siⁿ	sinn
姓	姓	sìⁿ	sinn3
扇	扇	sìⁿ	sinn3
豉	豉	sîⁿ	sinn5
豉	豉	sīⁿ	sinn7
蕭	萧	sio	sio
燒	烧	sio	sio
煖	煖	sio	sio
霄	霄	sio	sio
小	小	sió	sio2
嬲	嬲	sió	sio2
雙	双	sió	sio2
常	常	siô	sio5
卲	卲	siō	sio7
惜	惜	sioh	sioh
俗	俗	sio̍h	sioh8
憟	憟	siok	siok
肅	肃	siok	siok
嗖	嗖	siok	siok
揱	揱	siok	siok
縮	缩	siok	siok
驌	骕	siok	siok
俶	俶	siok	siok
儵	儵	siok	siok
爍	烁	siok	siok
翛	翛	siok	siok
鷫	鹔	siok	siok
淑	淑	siok	siok
倏	倏	siok	siok
削	削	siok	siok
洬	洬	siok	siok
菽	菽	siok	siok
夙	夙	siok	siok
橚	橚	siok	siok
踧	踧	siok	siok
宿	宿	siok	siok
蓿	蓿	siok	siok
鑠	铄	siok	siok
叔	叔	siok	siok
謖	谡	siok	siok
蹜	蹜	siok	siok
粟	粟	siok	siok
鐲	镯	sio̍k	siok8
孎	孎	sio̍k	siok8
熟	熟	sio̍k	siok8
蜀	蜀	sio̍k	siok8
塾	塾	sio̍k	siok8
贖	赎	sio̍k	siok8
襩	襩	sio̍k	siok8
俗	俗	sio̍k	siok8
蠾	蠾	sio̍k	siok8
擉	擉	sio̍k	siok8
續	续	sio̍k	siok8
屬	属	sio̍k	siok8
孰	孰	sio̍k	siok8
蠋	蠋	sio̍k	siok8
襡	襡	sio̍k	siok8
鸀	鸀	sio̍k	siok8
藚	藚	sio̍k	siok8
鑲	镶	siong	siong
嵩	嵩	siong	siong
驤	骧	siong	siong
觴	觞	siong	siong
襄	襄	siong	siong
勷	勷	siong	siong
緗	缃	siong	siong
湘	湘	siong	siong
蔏	蔏	siong	siong
葙	葙	siong	siong
禓	禓	siong	siong
商	商	siong	siong
忀	忀	siong	siong
娀	娀	siong	siong
湯	汤	siong	siong
饟	饟	siong	siong
相	相	siong	siong
箱	箱	siong	siong
殤	殇	siong	siong
瓖	瓖	siong	siong
纕	纕	siong	siong
廂	厢	siong	siong
